name,id,lat,long,type,tags,rank,mostSimilar,top3InTransitions,top3OutTransitions,outTransFrequency
Museion - Museum für Moderne und Zeitgenössische Kunst,64,46.715538099999996,11.652626300000001,Museum,"['events', 'cultural and religious institutions', 'indoor']",24.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Südtiroler Archäologiemuseum', 'Schloss Runkelstein', 'Merkantilmuseum']","['Südtiroler Archäologiemuseum', 'Naturmuseum Südtirol', 'Schloss Runkelstein']",41
Museum de Gherdeina,65,46.57392479999999,11.674645337460838,Museum,"['cultural and religious institutions', 'indoor']",35.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Museum Ladin Ciastel de Tor', 'Acquarena', 'Nesselbahn']","['Augustiner Chorherrenstift Neustift', 'Südtiroler Archäologiemuseum', 'Diözesanmuseum Hofburg Brixen']",6
Museum im Weißen Turm,66,46.7163815,11.65758612222222,Museum,"['cultural and religious institutions', 'indoor']",19.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Plose', 'Pharmaziemuseum Brixen', 'Diözesanmuseum Hofburg Brixen']","['Plose', 'Acquarena', 'Diözesanmuseum Hofburg Brixen']",73
Museum Kloster Marienberg,67,46.6985798,10.5069829,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Ladin Ciastel de Tor,68,46.680704038748,11.892846537309122,Museum,"['events', 'cultural and religious institutions', 'indoor']",34.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Plose', 'Messner Mountain Museum Ripa', 'Museum LUMEN']","['Museum de Gherdeina', 'Acquarena', 'Nesselbahn']",38
Museum Ladin Ursus ladinicus,69,46.57079876483519,11.932309027512385,Museum,"['events', 'cultural and religious institutions', 'indoor']",62.0,"['Tauferer Torturm', 'Schloss Prösels', 'kunst Meran']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",2
Museum LUMEN,70,46.740515,11.959224,Museum,"['events', 'cultural and religious institutions', 'indoor']",28.0,"['Tauferer Torturm', 'Museum Ladin Ursus ladinicus', 'Schloss Prösels']","['Messner Mountain Museum Corones', 'Acquarena', 'Nesselbahn']","['Messner Mountain Museum Corones', 'Messner Mountain Museum Ripa', 'Acquarena']",28
Museum Magie des Wassers,71,48.220312400000005,12.1018374,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Passeier - Andreas Hofer,72,46.801516229565436,11.238736190458482,Museum,"['events', 'cultural and religious institutions', 'indoor', 'outdoor']",37.0,"['Weinbaumuseum - Schloss Rametz', 'Rohrerhaus', 'Messner Mountain Museum Ortles']","['BunkerMooseum', 'Schloss Runkelstein', 'Acquarena']","['Diözesanmuseum Hofburg Brixen', 'Acquarena', 'Nesselbahn']",2
Museum Schloss Moos-Schulthaus,73,46.45368815000001,11.24776647394225,Museum,"['cultural and religious institutions', 'indoor', 'outdoor']",72.0,"['Schludernser Torturm', 'Archeoparc Villanders', 'Archeoparc']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Steinegg,74,46.485742,11.455107105521678,Museum,"['cultural and religious institutions', 'indoor']",99.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Museum Zeitreise Mensch,75,46.313930778382186,11.224531338602759,Museum,"['cultural and religious institutions', 'indoor']",53.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Naturmuseum Südtirol,77,46.50126988074469,11.357366365592457,Museum,"['cultural and religious institutions', 'indoor']",20.0,"['Gampen Bunker', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Südtiroler Archäologiemuseum', 'Museion - Museum für Moderne und Zeitgenössische Kunst', 'Eisenbahnwelt']","['Südtiroler Archäologiemuseum', 'Acquarena', 'Messner Mountain Museum Firmian']",79
